CollEn	 Particle	 Cent	 dEtdEta	 dETdEta_err	 dNdEta	 dNdEta_err	 npart	 nparterr
27	ka+	7	0.800749	0.0499253	0.990662	0.0608986	27	8
27	ka+	8	0.353417	0.0225982	0.444236	0.0280551	14	6
27	proton	0	7.86343	0.691235	18.1381	1.54018	343	2
27	proton	1	6.40887	0.563241	15.0053	1.2827	299	6
27	proton	2	4.7641	0.43032	11.3641	0.991116	234	9
27	proton	3	3.05995	0.267627	7.53114	0.638317	166	11
27	proton	4	1.87528	0.163642	4.82953	0.407623	114	11
27	proton	5	1.07378	0.0932505	2.91307	0.246972	75	10
27	proton	6	0.559816	0.0481728	1.61154	0.135417	47	9
27	proton	7	0.269224	0.0230925	0.829381	0.0700959	27	8
27	proton	8	0.103814	0.00891602	0.349019	0.030337	14	6
27	pbar	0	8.34766	0.708798	3.59174	0.304629	343	2
27	pbar	1	6.93229	0.603074	2.99152	0.264972	299	6
27	pbar	2	5.42285	0.463376	2.35049	0.201852	234	9
27	pbar	3	3.8476	0.321311	1.6803	0.139904	166	11
27	pbar	4	2.60109	0.229613	1.14768	0.103757	114	11
27	pbar	5	1.68983	0.146949	0.752715	0.0665491	75	10
27	pbar	6	0.949727	0.0794333	0.428356	0.0357669	47	9
27	pbar	7	0.524755	0.04566	0.240124	0.0210318	27	8
27	pbar	8	0.229125	0.0190646	0.106311	0.00883711	14	6
27	pi0	0	71.3513	4.39294	148.348	8.28934	343	2
27	pi0	1	59.5467	4.33375	125.77	9.96058	299	6
27	pi0	2	44.5436	3.21747	93.3702	7.28357	234	9
27	pi0	3	30.1584	2.18674	63.7689	5.00753	166	11
27	pi0	4	19.7903	1.42789	42.1856	3.29724	114	11
27	pi0	5	12.2625	0.860628	26.4662	1.94909	75	10
27	pi0	6	7.31387	0.662601	16.2033	1.82279	47	9
27	pi0	7	4.0585	0.364354	9.26434	1.01744	27	8
27	pi0	8	2.00243	0.129848	4.72427	0.30044	14	6
27	eta	0	8.71138	12.2108	9.25386	12.9087	343	2
27	eta	1	7.17371	9.92354	7.64433	10.447	299	6
27	eta	2	5.40666	7.64712	5.74531	8.09898	234	9
27	eta	3	3.62225	5.05733	3.86172	5.35247	166	11
27	eta	4	2.35328	3.28365	2.52061	3.49076	114	11
27	eta	5	1.43635	1.99416	1.5481	2.12784	75	10
27	eta	6	0.832053	1.15411	0.904743	1.24188	47	9
27	eta	7	0.446505	0.613623	0.490728	0.664582	27	8
