Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
526	-11	0.102243	0.102241	91
529	22	0.11059	0.11059	91
531	22	0.767518	0.767518	91
535	11	0.0218049	0.0217989	91
539	11	0.0159565	0.0159484	91
542	11	0.00168903	0.00161024	91
548	-11	0.307908	0.307907	91
548	11	0.0794975	0.0794958	91
549	11	0.267599	0.267599	91
549	-11	0.038235	0.0382316	91
550	22	0.108822	0.108822	91
551	11	0.0495296	0.049527	91
551	11	0.133445	0.133444	91
553	22	0.0085243	0.0085243	91
553	-11	0.0666232	0.0666212	91
554	11	0.0605665	0.0605644	91
554	11	0.0437232	0.0437202	91
564	22	0.0410688	0.0410688	91
571	-11	0.0554155	0.0554132	91
571	22	0.0722009	0.0722009	91
571	22	0.056809	0.056809	91
577	22	0.170726	0.170726	91
578	11	0.0624262	0.0624241	91
578	-11	0.00206541	0.00200122	91
580	11	0.117703	0.117702	91
583	22	0.0566652	0.0566652	91
589	22	0.0601718	0.0601718	91
594	22	0.415745	0.415745	91
594	22	0.110497	0.110497	91
596	22	0.0704263	0.0704263	91
596	-11	0.22055	0.22055	91
596	-11	0.128601	0.1286	91
598	-11	0.0406343	0.0406311	91
602	22	0.451629	0.451629	91
606	22	0.0603674	0.0603674	91
608	22	0.0594294	0.0594294	91
608	22	0.0678653	0.0678653	91
610	11	0.308035	0.308034	91
612	22	0.0541859	0.0541859	91
615	11	0.0170009	0.0169932	91
615	-11	0.0545988	0.0545964	91
615	-11	0.0206307	0.0206244	91
617	11	0.0065956	0.00657585	91
618	22	0.0851176	0.0851176	91
618	11	0.0720767	0.0720749	91
618	-11	0.413354	0.413354	91
622	11	0.0211214	0.0211153	91
624	22	0.61992	0.61992	91
625	22	0.273358	0.273358	91
626	11	0.250439	0.250438	91
626	-11	0.217057	0.217056	91
631	11	0.0687964	0.0687945	91
635	22	0.10977	0.10977	91
635	22	0.0488649	0.0488649	91
639	-12	0.345318	0.345318	91
642	11	0.022725	0.0227193	91
643	22	0.34959	0.34959	91
644	11	0.0257282	0.0257231	91
649	-11	0.0495311	0.0495285	91
651	22	0.0578659	0.0578659	91
651	11	0.226789	0.226789	91
651	-11	0.0851661	0.0851645	91
653	11	0.0378588	0.0378554	91
660	11	0.107319	0.107318	91
660	-11	0.0144751	0.0144661	91
662	11	0.13652	0.136519	91
662	-11	0.057674	0.0576717	91
662	11	0.111097	0.111096	91
663	22	0.243633	0.243633	91
663	-11	0.0409502	0.040947	91
663	22	0.0778436	0.0778436	91
663	22	0.0694058	0.0694058	91
664	-11	0.108721	0.10872	91
664	-11	0.00744022	0.00742277	91
667	22	0.0472583	0.0472583	91
674	22	0.0714007	0.0714007	91
674	11	0.119028	0.119027	91
675	22	0.0435075	0.0435075	91
678	11	0.0527846	0.0527821	91
678	-11	0.170828	0.170828	91
680	22	0.0706744	0.0706744	91
682	22	0.748993	0.748993	-43
682	22	0.0929222	0.0929222	91
683	11	0.168105	0.168104	91
684	-11	0.0238793	0.0238739	91
687	-11	0.0360868	0.0360832	91
687	11	0.0125324	0.012522	91
688	22	0.103569	0.103569	91
688	22	0.279518	0.279518	91
688	22	0.0516364	0.0516364	91
